Age,Gender,Region,Education,Employment,Income,Exercise,Health Monitoring,Wearable Device,DNA Test Taken,Comfort DNA Sharing,Trust in Science,Interest Vitamins,Interest Skincare,Interest Diet Fitness,Preferred Mode,Willingness to Pay,Subscription Interest,Interest in DNA Brand,Diet Type_Vegetarian,Diet Type_Vegan,Diet Type_Non-vegetarian,Diet Type_Keto/Low-carb,Diet Type_High Protein,Diet Type_Pescatarian,Fitness Goals_Weight loss,Fitness Goals_Muscle gain,Fitness Goals_Energy,Fitness Goals_Sleep,Fitness Goals_Endurance,Fitness Goals_Mental wellness,Fitness Goals_Healthy aging,Fitness Goals_General fitness,Health Issues_Fatigue,Health Issues_Stress,Health Issues_Digestive issues,Health Issues_Vitamin deficiency,Health Issues_Skin issues,Health Issues_Hair fall,Health Issues_Hormonal imbalance,Health Issues_Weight issues,Supplement Sources_Pharmacy,Supplement Sources_Online,Supplement Sources_Supermarket,Supplement Sources_Clinic,Supplement Sources_None,Supplements Used_Multivitamins,Supplements Used_Omega-3,Supplements Used_Collagen,Supplements Used_Vitamin D,Supplements Used_Protein,Supplements Used_Probiotics,Supplements Used_Creatine,Supplements Used_Skin supplements,DNA Interest Areas_Diet plans,DNA Interest Areas_Vitamins,DNA Interest Areas_Skincare,DNA Interest Areas_Fitness,DNA Interest Areas_Preventive health,DNA Interest Areas_Anti-aging,DNA Interest Areas_Genetics curiosity
25-34,Female,Dubai,Doctorate,Student,3000-7000,3-4 times/wk,Weekly,Yes,Yes,5,Medium,Likely,Neutral,Very likely,App,700-1000,Yes,Yes,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
35-44,Male,Dubai,Master,Student,7000-12000,5+ times/wk,Daily,Yes,No,3,High,Likely,Likely,Likely,Clinic,700-1000,Yes,Maybe,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
25-34,Female,UAQ,Diploma,Student,3000-7000,3-4 times/wk,Occasionally,No,No,3,High,Likely,Likely,Very unlikely,App,200-400,Maybe,Yes,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25-34,Female,Abu Dhabi,Diploma,Business Owner,12000-20000,1-2 times/wk,Never,Yes,No,4,Low,Likely,Neutral,Likely,Email,1500+,Maybe,Maybe,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
25-34,Male,Ajman,Diploma,Working Professional,3000-7000,5+ times/wk,Weekly,No,No,4,Medium,Unlikely,Likely,Neutral,App,700-1000,Yes,Yes,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
25-34,Male,RAK,Doctorate,Working Professional,7000-12000,1-2 times/wk,Daily,No,No,2,High,Neutral,Likely,Neutral,WhatsApp AI,400-700,Yes,Yes,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
25-34,Female,Dubai,Master,Working Professional,12000-20000,3-4 times/wk,Weekly,Yes,Yes,4,Medium,Neutral,Neutral,Neutral,App,200-400,Yes,Maybe,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
35-44,Female,Abu Dhabi,Bachelor,Working Professional,<3000,1-2 times/wk,Occasionally,No,No,4,Medium,Very unlikely,Neutral,Likely,App,1000-1500,Maybe,No,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
25-34,Male,Dubai,Bachelor,Working Professional,12000-20000,Never,Occasionally,No,Yes,4,Medium,Likely,Unlikely,Likely,WhatsApp AI,400-700,No,Maybe,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18-24,Male,Abu Dhabi,Bachelor,Working Professional,3000-7000,3-4 times/wk,Occasionally,No,No,4,High,Likely,Likely,Unlikely,WhatsApp AI,400-700,Yes,Yes,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
35-44,Male,Dubai,Master,Student,3000-7000,1-2 times/wk,Occasionally,Yes,No,3,Medium,Very unlikely,Very likely,Likely,Dashboard,1000-1500,Yes,Yes,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0
45-54,Female,Abu Dhabi,Bachelor,Freelancer,20000-35000,3-4 times/wk,Occasionally,No,No,4,High,Very unlikely,Neutral,Likely,App,700-1000,Yes,Yes,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0
18-24,Male,Dubai,Bachelor,Freelancer,7000-12000,3-4 times/wk,Weekly,Yes,Yes,1,High,Likely,Very likely,Unlikely,App,200-400,Yes,No,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
25-34,Male,Sharjah,Master,Student,7000-12000,3-4 times/wk,Occasionally,No,No,2,Low,Unlikely,Likely,Likely,App,700-1000,Yes,No,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
35-44,Female,Abu Dhabi,High School,Working Professional,12000-20000,Never,Weekly,Yes,No,4,Medium,Unlikely,Neutral,Likely,WhatsApp AI,1000-1500,Maybe,Yes,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
35-44,Female,Dubai,Bachelor,Business Owner,3000-7000,3-4 times/wk,Weekly,No,No,3,Medium,Neutral,Very likely,Likely,App,<200,Maybe,Yes,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
35-44,Female,Sharjah,Bachelor,Working Professional,7000-12000,3-4 times/wk,Never,Yes,No,3,High,Likely,Neutral,Neutral,App,200-400,Maybe,Yes,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
35-44,Other,Sharjah,Diploma,Working Professional,3000-7000,3-4 times/wk,Weekly,No,No,5,Medium,Unlikely,Very unlikely,Very unlikely,App,1000-1500,No,Maybe,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0
18-24,Male,Dubai,Bachelor,Working Professional,35000+,1-2 times/wk,Daily,Yes,Yes,4,High,Very unlikely,Unlikely,Likely,App,400-700,No,Maybe,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
25-34,Female,Dubai,Bachelor,Working Professional,7000-12000,Never,Daily,Yes,No,4,Medium,Unlikely,Neutral,Likely,Dashboard,<200,Yes,Yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
45-54,Male,Dubai,Bachelor,Freelancer,7000-12000,5+ times/wk,Occasionally,Yes,No,2,Medium,Likely,Likely,Unlikely,App,700-1000,No,Maybe,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
25-34,Female,Dubai,High School,Working Professional,3000-7000,1-2 times/wk,Never,No,No,4,High,Neutral,Neutral,Unlikely,Clinic,400-700,Maybe,Maybe,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
25-34,Male,Dubai,Diploma,Student,7000-12000,3-4 times/wk,Weekly,No,No,1,Low,Likely,Neutral,Neutral,App,400-700,Maybe,No,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
35-44,Male,Abu Dhabi,Master,Working Professional,12000-20000,1-2 times/wk,Daily,No,No,3,High,Very likely,Likely,Unlikely,Clinic,200-400,Maybe,Yes,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
25-34,Female,Abu Dhabi,Diploma,Student,7000-12000,3-4 times/wk,Occasionally,Yes,No,5,Medium,Likely,Likely,Likely,Email,400-700,Yes,Yes,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
35-44,Male,UAQ,Master,Not working,3000-7000,1-2 times/wk,Daily,No,No,4,High,Very likely,Unlikely,Very likely,App,200-400,Maybe,Yes,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
45-54,Male,Dubai,Master,Not working,<3000,3-4 times/wk,Occasionally,No,No,2,Medium,Very likely,Neutral,Neutral,WhatsApp AI,200-400,No,Yes,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
25-34,Male,Fujairah,Master,Working Professional,3000-7000,1-2 times/wk,Occasionally,Yes,No,2,Medium,Likely,Unlikely,Unlikely,WhatsApp AI,400-700,No,Yes,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
25-34,Male,Sharjah,Bachelor,Working Professional,20000-35000,3-4 times/wk,Occasionally,No,Yes,5,High,Likely,Unlikely,Neutral,Dashboard,200-400,No,Yes,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
55+,Male,Fujairah,Bachelor,Working Professional,7000-12000,3-4 times/wk,Weekly,Yes,No,4,High,Unlikely,Unlikely,Likely,WhatsApp AI,700-1000,Yes,Yes,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
35-44,Male,Ajman,High School,Working Professional,3000-7000,5+ times/wk,Occasionally,No,No,5,High,Very likely,Very likely,Very likely,App,1000-1500,Maybe,Yes,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18-24,Female,Dubai,Bachelor,Working Professional,7000-12000,5+ times/wk,Weekly,Yes,No,3,Medium,Neutral,Likely,Neutral,WhatsApp AI,400-700,No,Maybe,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
25-34,Female,Sharjah,Bachelor,Working Professional,12000-20000,3-4 times/wk,Occasionally,Yes,Yes,5,Medium,Likely,Likely,Very likely,App,700-1000,Yes,Yes,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
18-24,Female,Abu Dhabi,Doctorate,Student,7000-12000,1-2 times/wk,Daily,No,Yes,4,High,Very likely,Very likely,Likely,App,200-400,No,Maybe,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
18-24,Male,Fujairah,Master,Student,12000-20000,3-4 times/wk,Weekly,No,No,5,High,Unlikely,Unlikely,Likely,App,<200,Maybe,Yes,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
25-34,Male,Dubai,Bachelor,Working Professional,12000-20000,3-4 times/wk,Weekly,No,Yes,4,High,Likely,Very unlikely,Very likely,Email,400-700,Yes,Maybe,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
25-34,Female,Dubai,Diploma,Student,7000-12000,3-4 times/wk,Weekly,Yes,No,3,High,Very likely,Likely,Very likely,App,1000-1500,Yes,Maybe,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0
25-34,Female,Dubai,Bachelor,Working Professional,35000+,3-4 times/wk,Occasionally,Yes,Yes,4,High,Likely,Likely,Neutral,Email,1000-1500,Yes,Maybe,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
18-24,Male,Dubai,Diploma,Working Professional,3000-7000,3-4 times/wk,Weekly,Yes,No,2,Medium,Likely,Very unlikely,Very likely,Email,200-400,Yes,Maybe,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
25-34,Male,Dubai,Master,Working Professional,7000-12000,1-2 times/wk,Weekly,Yes,No,3,Medium,Likely,Likely,Very unlikely,App,200-400,No,No,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
25-34,Female,Abu Dhabi,Bachelor,Working Professional,12000-20000,1-2 times/wk,Occasionally,Yes,No,4,High,Unlikely,Very likely,Likely,WhatsApp AI,200-400,Yes,Yes,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25-34,Male,Abu Dhabi,Bachelor,Working Professional,12000-20000,1-2 times/wk,Occasionally,No,No,4,Low,Likely,Unlikely,Neutral,Clinic,200-400,Maybe,Yes,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
35-44,Male,Abu Dhabi,Diploma,Working Professional,7000-12000,Never,Daily,No,No,5,Low,Neutral,Very likely,Likely,App,200-400,Yes,Yes,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
25-34,Female,Dubai,Doctorate,Working Professional,7000-12000,3-4 times/wk,Weekly,No,No,4,High,Neutral,Likely,Likely,Dashboard,400-700,Yes,Yes,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
18-24,Male,Dubai,Bachelor,Not working,<3000,3-4 times/wk,Occasionally,No,No,4,Low,Neutral,Very likely,Neutral,Email,1000-1500,Maybe,Yes,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
35-44,Male,Sharjah,Doctorate,Working Professional,7000-12000,1-2 times/wk,Daily,Yes,No,4,Low,Likely,Neutral,Unlikely,Email,1500+,No,Yes,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18-24,Female,RAK,Bachelor,Working Professional,12000-20000,1-2 times/wk,Weekly,Yes,No,4,Medium,Very unlikely,Likely,Neutral,App,200-400,Maybe,Yes,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0
35-44,Male,Fujairah,Diploma,Working Professional,12000-20000,3-4 times/wk,Occasionally,No,No,4,High,Unlikely,Likely,Likely,Clinic,700-1000,Yes,Yes,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
35-44,Other,Abu Dhabi,Master,Freelancer,3000-7000,1-2 times/wk,Daily,No,No,3,High,Neutral,Very likely,Likely,Email,200-400,Yes,No,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
45-54,Female,Dubai,Master,Business Owner,3000-7000,3-4 times/wk,Occasionally,No,Yes,4,High,Neutral,Neutral,Neutral,App,200-400,Yes,Yes,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
35-44,Male,Dubai,High School,Business Owner,7000-12000,5+ times/wk,Weekly,No,No,5,Low,Neutral,Likely,Unlikely,App,200-400,No,No,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
18-24,Female,Abu Dhabi,Bachelor,Working Professional,7000-12000,3-4 times/wk,Occasionally,Yes,No,4,Medium,Neutral,Likely,Neutral,App,1000-1500,Yes,Yes,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
25-34,Female,Dubai,High School,Student,12000-20000,1-2 times/wk,Weekly,No,Yes,3,Medium,Likely,Likely,Very unlikely,WhatsApp AI,400-700,Yes,Yes,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
25-34,Male,UAQ,Bachelor,Not working,7000-12000,1-2 times/wk,Weekly,Yes,No,5,High,Likely,Very likely,Neutral,Clinic,400-700,Yes,Maybe,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
25-34,Female,Sharjah,High School,Working Professional,12000-20000,3-4 times/wk,Occasionally,Yes,No,3,High,Very unlikely,Very likely,Neutral,Clinic,200-400,Maybe,Maybe,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
18-24,Female,Dubai,Master,Working Professional,35000+,1-2 times/wk,Weekly,No,Yes,2,High,Unlikely,Neutral,Neutral,App,<200,Yes,Yes,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
25-34,Male,Fujairah,High School,Student,7000-12000,5+ times/wk,Occasionally,No,No,3,High,Neutral,Very likely,Neutral,App,700-1000,Maybe,Yes,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25-34,Male,Abu Dhabi,Master,Business Owner,12000-20000,5+ times/wk,Weekly,No,No,2,Medium,Likely,Neutral,Very likely,App,1000-1500,Yes,Yes,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
35-44,Female,Abu Dhabi,Bachelor,Working Professional,3000-7000,1-2 times/wk,Never,No,No,2,High,Neutral,Very likely,Likely,Dashboard,200-400,Yes,Maybe,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25-34,Female,Abu Dhabi,Bachelor,Student,3000-7000,5+ times/wk,Occasionally,No,No,2,High,Likely,Likely,Likely,Dashboard,1000-1500,Yes,Yes,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0
35-44,Female,Sharjah,Master,Working Professional,7000-12000,3-4 times/wk,Weekly,Yes,No,4,High,Very unlikely,Neutral,Neutral,App,700-1000,Yes,Maybe,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
35-44,Female,Fujairah,Diploma,Working Professional,7000-12000,1-2 times/wk,Occasionally,Yes,No,2,Medium,Very likely,Likely,Unlikely,App,1500+,Yes,Maybe,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
25-34,Male,Dubai,Bachelor,Student,7000-12000,Never,Occasionally,No,No,4,Medium,Neutral,Neutral,Very unlikely,App,400-700,Yes,Yes,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
25-34,Female,Abu Dhabi,Master,Working Professional,7000-12000,1-2 times/wk,Never,Yes,No,4,Medium,Very unlikely,Very unlikely,Likely,Email,400-700,Yes,Maybe,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0
18-24,Female,Dubai,Bachelor,Working Professional,12000-20000,3-4 times/wk,Occasionally,No,No,4,Medium,Likely,Likely,Likely,WhatsApp AI,<200,Yes,Maybe,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
