Age,Gender,Education Level,Income Level,Region,Exercise Frequency,Diet Type,Current Supplement Usage,Interest in Scientific Wellness,Health Priorities,Spending Range,Estimated Monthly Spending (AED),Interest in DNA-Based Wellness Concept
47,Male,High School,<2000 AED,Abu Dhabi,5+ times/week,Pescatarian,Yes,Neutral,"Weight Management, Fitness Performance",500-1000 AED,979.54,Highly Interested
55,Female,Bachelor’s,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Not Interested,"Skin Health, Fitness Performance, Weight Management, Anti-Aging, Mental Wellness",1000-2000 AED,1192.35,Highly Interested
19,Male,Doctorate,2000-5000 AED,Ajman,5+ times/week,Pescatarian,Yes,Very Interested,"Skin Health, Energy Levels",500-1000 AED,858.69,Highly Interested
38,Male,High School,2000-5000 AED,Dubai,5+ times/week,Vegetarian,Yes,Very Interested,"Mental Wellness, Immunity Boost, Energy Levels, Weight Management",1000-2000 AED,1664.34,Interested
50,Male,High School,2000-5000 AED,Other,Never,Keto/Low Carb,Yes,Very Interested,"Mental Wellness, Weight Management, Anti-Aging, Immunity Boost",>2000 AED,2343.38,Interested
29,Male,High School,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Neutral,"Anti-Aging, Immunity Boost",500-1000 AED,509.55,Highly Interested
39,Male,High School,5000-10000 AED,Sharjah,3-4 times/week,Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Mental Wellness",200-500 AED,406.94,Interested
61,Female,High School,10000-20000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Mental Wellness",<200 AED,478.2,Highly Interested
42,Female,Bachelor’s,2000-5000 AED,Ras Al Khaimah,5+ times/week,Keto/Low Carb,Yes,Very Interested,"Skin Health, Mental Wellness, Fitness Performance, Energy Levels",1000-2000 AED,1632.12,Interested
44,Female,Bachelor’s,>20000 AED,Abu Dhabi,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Skin Health, Immunity Boost, Weight Management, Energy Levels, Fitness Performance",1000-2000 AED,1435.29,Not Interested
59,Female,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Very Interested,"Skin Health, Weight Management, Fitness Performance, Mental Wellness, Anti-Aging",200-500 AED,357.55,Interested
45,Female,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Vegan,No,Somewhat Interested,"Weight Management, Fitness Performance, Skin Health, Energy Levels",200-500 AED,259.89,Neutral
33,Female,High School,10000-20000 AED,Dubai,3-4 times/week,Pescatarian,No,Somewhat Interested,"Immunity Boost, Fitness Performance, Anti-Aging",<200 AED,400.22,Neutral
32,Male,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Not Interested,"Fitness Performance, Energy Levels",1000-2000 AED,1746.42,Interested
64,Male,Bachelor’s,5000-10000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Immunity Boost, Energy Levels, Skin Health, Anti-Aging",200-500 AED,243.66,Interested
61,Female,Master’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Vegetarian,Yes,Neutral,"Immunity Boost, Energy Levels, Mental Wellness, Anti-Aging, Fitness Performance",500-1000 AED,938.99,Neutral
20,Male,High School,5000-10000 AED,Sharjah,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Fitness Performance",500-1000 AED,634.59,Highly Interested
54,Female,Bachelor’s,2000-5000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Weight Management, Skin Health",1000-2000 AED,1982.26,Highly Interested
24,Male,Bachelor’s,5000-10000 AED,Sharjah,1-2 times/week,Keto/Low Carb,No,Somewhat Interested,"Immunity Boost, Fitness Performance, Energy Levels, Weight Management",500-1000 AED,691.45,Neutral
38,Female,Master’s,5000-10000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Neutral,"Fitness Performance, Weight Management, Mental Wellness",500-1000 AED,588.94,Interested
26,Prefer not to say,Master’s,5000-10000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Mental Wellness, Immunity Boost, Weight Management, Fitness Performance",200-500 AED,305.52,Highly Interested
56,Female,Bachelor’s,5000-10000 AED,Sharjah,5+ times/week,Vegetarian,No,Very Interested,"Weight Management, Immunity Boost, Energy Levels, Anti-Aging, Mental Wellness",500-1000 AED,720.09,Interested
35,Male,Bachelor’s,10000-20000 AED,Other,3-4 times/week,Vegetarian,No,Very Interested,"Immunity Boost, Anti-Aging",1000-2000 AED,1069.31,Neutral
21,Male,Doctorate,<2000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Immunity Boost, Weight Management, Skin Health, Fitness Performance, Mental Wellness",>2000 AED,2578.22,Interested
42,Non-binary,High School,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Mental Wellness, Weight Management, Energy Levels",200-500 AED,379.29,Interested
31,Non-binary,High School,10000-20000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Energy Levels, Mental Wellness, Immunity Boost, Weight Management",<200 AED,395.57,Neutral
26,Male,Bachelor’s,2000-5000 AED,Other,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Fitness Performance, Anti-Aging",<200 AED,111.67,Interested
43,Female,High School,<2000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Fitness Performance, Energy Levels",500-1000 AED,770.62,Interested
19,Male,Doctorate,2000-5000 AED,Abu Dhabi,1-2 times/week,Keto/Low Carb,Yes,Neutral,"Fitness Performance, Weight Management, Mental Wellness, Immunity Boost",1000-2000 AED,1052.91,Interested
37,Male,Master’s,2000-5000 AED,Ajman,1-2 times/week,Pescatarian,Yes,Very Interested,"Energy Levels, Weight Management",<200 AED,380.46,Interested
45,Male,Bachelor’s,>20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Mental Wellness, Weight Management, Fitness Performance, Energy Levels",500-1000 AED,527.86,Interested
64,Male,Bachelor’s,5000-10000 AED,Dubai,Never,Pescatarian,Yes,Somewhat Interested,"Fitness Performance, Skin Health, Weight Management, Immunity Boost",200-500 AED,473.52,Highly Interested
24,Prefer not to say,Doctorate,>20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,No,Neutral,"Fitness Performance, Mental Wellness, Weight Management",<200 AED,380.83,Interested
61,Female,Master’s,5000-10000 AED,Ras Al Khaimah,1-2 times/week,Vegetarian,No,Very Interested,"Mental Wellness, Fitness Performance, Weight Management, Energy Levels",500-1000 AED,753.69,Not Interested
25,Male,Bachelor’s,5000-10000 AED,Dubai,1-2 times/week,Vegan,Yes,Not Interested,"Mental Wellness, Fitness Performance, Energy Levels",200-500 AED,332.45,Highly Interested
64,Female,Doctorate,2000-5000 AED,Abu Dhabi,5+ times/week,Vegetarian,No,Somewhat Interested,"Energy Levels, Immunity Boost, Mental Wellness, Fitness Performance",500-1000 AED,565.34,Highly Interested
52,Non-binary,Doctorate,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Not Interested,"Fitness Performance, Skin Health, Energy Levels",1000-2000 AED,1291.0,Interested
31,Prefer not to say,Master’s,<2000 AED,Abu Dhabi,Never,Vegan,Yes,Neutral,"Skin Health, Energy Levels, Weight Management, Anti-Aging, Mental Wellness",500-1000 AED,934.48,Neutral
34,Male,High School,10000-20000 AED,Abu Dhabi,5+ times/week,Vegetarian,No,Very Interested,"Immunity Boost, Skin Health, Weight Management, Anti-Aging",200-500 AED,471.34,Highly Interested
53,Male,Bachelor’s,10000-20000 AED,Abu Dhabi,Never,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Mental Wellness",>2000 AED,2000.75,Highly Interested
57,Male,Master’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Keto/Low Carb,No,Very Interested,"Weight Management, Anti-Aging, Fitness Performance, Energy Levels, Immunity Boost",500-1000 AED,797.07,Highly Interested
21,Male,High School,>20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Fitness Performance, Anti-Aging",1000-2000 AED,1719.3,Interested
19,Male,Master’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Skin Health, Fitness Performance",<200 AED,347.5,Highly Interested
23,Female,High School,5000-10000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Fitness Performance, Mental Wellness, Skin Health",<200 AED,132.67,Highly Interested
59,Male,High School,<2000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Skin Health, Weight Management",<200 AED,187.09,Interested
21,Male,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Energy Levels, Anti-Aging, Fitness Performance, Immunity Boost",200-500 AED,275.1,Neutral
46,Male,High School,5000-10000 AED,Ajman,Never,Keto/Low Carb,Yes,Very Interested,"Skin Health, Anti-Aging, Mental Wellness",500-1000 AED,915.86,Interested
35,Male,Doctorate,2000-5000 AED,Ajman,1-2 times/week,Non-Vegetarian,No,Very Interested,"Weight Management, Anti-Aging, Fitness Performance, Skin Health, Energy Levels",>2000 AED,2463.2,Highly Interested
43,Male,Master’s,<2000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Very Interested,"Fitness Performance, Weight Management",500-1000 AED,743.41,Interested
61,Female,Master’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Pescatarian,Yes,Very Interested,"Mental Wellness, Anti-Aging, Weight Management",200-500 AED,480.47,Not Interested
51,Male,Bachelor’s,<2000 AED,Abu Dhabi,3-4 times/week,Pescatarian,No,Somewhat Interested,"Immunity Boost, Energy Levels, Anti-Aging, Skin Health, Mental Wellness",500-1000 AED,818.54,Interested
27,Male,High School,5000-10000 AED,Dubai,3-4 times/week,Vegetarian,No,Somewhat Interested,"Anti-Aging, Mental Wellness, Skin Health, Immunity Boost, Weight Management",200-500 AED,469.6,Not Interested
53,Male,Bachelor’s,>20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Neutral,"Anti-Aging, Mental Wellness, Fitness Performance",500-1000 AED,728.25,Neutral
31,Female,Bachelor’s,10000-20000 AED,Dubai,Never,Non-Vegetarian,Yes,Somewhat Interested,"Mental Wellness, Weight Management, Fitness Performance",500-1000 AED,574.72,Highly Interested
48,Male,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Fitness Performance, Skin Health",1000-2000 AED,1929.94,Interested
32,Male,Bachelor’s,10000-20000 AED,Ajman,3-4 times/week,Non-Vegetarian,No,Very Interested,"Energy Levels, Mental Wellness, Fitness Performance",>2000 AED,2458.71,Highly Interested
25,Male,Bachelor’s,<2000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Neutral,"Fitness Performance, Weight Management",200-500 AED,254.49,Interested
31,Non-binary,Bachelor’s,<2000 AED,Ajman,1-2 times/week,Keto/Low Carb,No,Neutral,"Weight Management, Anti-Aging",500-1000 AED,651.2,Highly Interested
40,Male,Doctorate,5000-10000 AED,Abu Dhabi,Never,Vegan,Yes,Neutral,"Immunity Boost, Weight Management",>2000 AED,2050.8,Highly Interested
57,Female,Master’s,2000-5000 AED,Ajman,3-4 times/week,Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Skin Health, Mental Wellness",1000-2000 AED,1468.3,Neutral
38,Non-binary,Bachelor’s,2000-5000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Immunity Boost, Fitness Performance",500-1000 AED,926.56,Highly Interested
33,Male,Bachelor’s,5000-10000 AED,Dubai,Never,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Energy Levels",>2000 AED,2933.58,Neutral
62,Female,Master’s,2000-5000 AED,Sharjah,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Fitness Performance, Weight Management, Anti-Aging, Mental Wellness",<200 AED,473.04,Highly Interested
35,Female,High School,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Neutral,"Weight Management, Anti-Aging, Skin Health",>2000 AED,2125.23,Highly Interested
64,Male,Master’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Pescatarian,Yes,Somewhat Interested,"Fitness Performance, Anti-Aging",<200 AED,252.82,Neutral
41,Male,Master’s,10000-20000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Immunity Boost, Anti-Aging",500-1000 AED,514.11,Interested
43,Female,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Very Interested,"Energy Levels, Anti-Aging, Fitness Performance, Immunity Boost",1000-2000 AED,1855.17,Interested
42,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Vegan,Yes,Neutral,"Weight Management, Mental Wellness, Energy Levels, Fitness Performance",200-500 AED,307.63,Highly Interested
62,Prefer not to say,Bachelor’s,5000-10000 AED,Sharjah,3-4 times/week,Non-Vegetarian,No,Very Interested,"Skin Health, Weight Management, Immunity Boost, Anti-Aging",500-1000 AED,815.56,Interested
58,Male,Bachelor’s,2000-5000 AED,Ajman,5+ times/week,Vegetarian,No,Very Interested,"Weight Management, Mental Wellness, Fitness Performance, Skin Health",200-500 AED,414.47,Interested
46,Female,High School,<2000 AED,Sharjah,5+ times/week,Non-Vegetarian,No,Very Interested,"Fitness Performance, Skin Health",>2000 AED,2429.84,Interested
32,Male,Master’s,10000-20000 AED,Dubai,1-2 times/week,Vegetarian,No,Somewhat Interested,"Skin Health, Weight Management, Mental Wellness, Immunity Boost, Anti-Aging",1000-2000 AED,1306.44,Interested
62,Female,High School,2000-5000 AED,Sharjah,1-2 times/week,Keto/Low Carb,No,Somewhat Interested,"Mental Wellness, Energy Levels, Skin Health, Weight Management",1000-2000 AED,1962.21,Not Interested
18,Female,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Vegetarian,Yes,Neutral,"Energy Levels, Fitness Performance",500-1000 AED,982.24,Interested
42,Male,Doctorate,5000-10000 AED,Sharjah,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Mental Wellness, Immunity Boost, Weight Management, Skin Health",1000-2000 AED,1289.44,Neutral
24,Male,Master’s,5000-10000 AED,Other,5+ times/week,Non-Vegetarian,No,Somewhat Interested,"Fitness Performance, Anti-Aging",500-1000 AED,739.81,Interested
26,Male,Bachelor’s,5000-10000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Mental Wellness, Weight Management, Immunity Boost, Anti-Aging, Fitness Performance",500-1000 AED,986.42,Interested
41,Male,Bachelor’s,2000-5000 AED,Ajman,1-2 times/week,Vegetarian,Yes,Very Interested,"Fitness Performance, Skin Health, Energy Levels",1000-2000 AED,1004.87,Highly Interested
18,Male,High School,2000-5000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Neutral,"Mental Wellness, Fitness Performance, Energy Levels, Immunity Boost",500-1000 AED,706.34,Highly Interested
61,Female,Master’s,2000-5000 AED,Sharjah,3-4 times/week,Vegetarian,No,Somewhat Interested,"Skin Health, Mental Wellness, Energy Levels, Fitness Performance, Immunity Boost",<200 AED,140.18,Neutral
25,Female,High School,2000-5000 AED,Ajman,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Mental Wellness, Anti-Aging, Weight Management, Skin Health, Immunity Boost",<200 AED,303.66,Highly Interested
41,Female,Bachelor’s,5000-10000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Neutral,"Anti-Aging, Skin Health, Weight Management, Mental Wellness",200-500 AED,207.4,Highly Interested
28,Non-binary,Doctorate,10000-20000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Mental Wellness, Immunity Boost",1000-2000 AED,1406.9,Highly Interested
34,Female,High School,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Skin Health, Fitness Performance",500-1000 AED,610.35,Highly Interested
25,Female,Master’s,10000-20000 AED,Sharjah,Never,Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Skin Health, Fitness Performance, Weight Management",1000-2000 AED,1533.31,Neutral
52,Female,Doctorate,5000-10000 AED,Ajman,1-2 times/week,Pescatarian,Yes,Very Interested,"Weight Management, Energy Levels, Fitness Performance, Skin Health",500-1000 AED,998.0,Neutral
52,Male,High School,5000-10000 AED,Sharjah,3-4 times/week,Non-Vegetarian,No,Very Interested,"Skin Health, Energy Levels, Weight Management, Immunity Boost, Anti-Aging",200-500 AED,440.16,Interested
50,Male,Master’s,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Very Interested,"Immunity Boost, Fitness Performance, Anti-Aging, Energy Levels, Skin Health",200-500 AED,453.69,Highly Interested
22,Male,Bachelor’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Mental Wellness, Skin Health",1000-2000 AED,1635.26,Interested
59,Male,Doctorate,5000-10000 AED,Abu Dhabi,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Anti-Aging, Energy Levels, Mental Wellness, Weight Management",500-1000 AED,520.78,Interested
56,Male,Bachelor’s,2000-5000 AED,Ras Al Khaimah,1-2 times/week,Vegetarian,Yes,Very Interested,"Fitness Performance, Weight Management, Skin Health, Mental Wellness, Anti-Aging",>2000 AED,2206.8,Not Interested
58,Male,Master’s,2000-5000 AED,Abu Dhabi,5+ times/week,Pescatarian,No,Somewhat Interested,"Energy Levels, Immunity Boost, Anti-Aging, Mental Wellness",500-1000 AED,962.53,Interested
45,Female,Bachelor’s,>20000 AED,Dubai,3-4 times/week,Vegan,No,Neutral,"Weight Management, Anti-Aging, Fitness Performance",500-1000 AED,683.06,Highly Interested
24,Female,Master’s,2000-5000 AED,Sharjah,1-2 times/week,Vegetarian,Yes,Very Interested,"Skin Health, Anti-Aging, Mental Wellness, Fitness Performance, Immunity Boost",500-1000 AED,551.82,Interested
26,Male,Master’s,<2000 AED,Abu Dhabi,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Fitness Performance, Weight Management, Anti-Aging, Energy Levels, Immunity Boost",>2000 AED,2702.41,Not Interested
25,Male,Bachelor’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Weight Management, Anti-Aging, Skin Health",1000-2000 AED,1299.46,Interested
29,Male,Master’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Vegetarian,No,Very Interested,"Energy Levels, Anti-Aging, Fitness Performance, Mental Wellness, Immunity Boost",<200 AED,207.54,Interested
51,Female,High School,5000-10000 AED,Ajman,1-2 times/week,Pescatarian,Yes,Somewhat Interested,"Mental Wellness, Fitness Performance",500-1000 AED,998.99,Highly Interested
50,Female,High School,5000-10000 AED,Abu Dhabi,5+ times/week,Vegan,Yes,Very Interested,"Energy Levels, Anti-Aging, Immunity Boost, Mental Wellness",500-1000 AED,929.07,Interested
40,Female,High School,2000-5000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Immunity Boost",1000-2000 AED,1407.94,Neutral
41,Male,Bachelor’s,5000-10000 AED,Dubai,1-2 times/week,Vegetarian,No,Somewhat Interested,"Energy Levels, Anti-Aging, Skin Health",200-500 AED,494.08,Highly Interested
54,Female,High School,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Immunity Boost, Skin Health, Energy Levels, Mental Wellness",1000-2000 AED,1650.11,Interested
52,Prefer not to say,Doctorate,10000-20000 AED,Dubai,Never,Vegan,Yes,Neutral,"Weight Management, Energy Levels, Fitness Performance, Anti-Aging",>2000 AED,2742.02,Highly Interested
61,Male,High School,5000-10000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Neutral,"Immunity Boost, Weight Management, Skin Health, Fitness Performance",200-500 AED,209.45,Highly Interested
57,Female,Master’s,2000-5000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Immunity Boost, Weight Management",1000-2000 AED,1121.61,Highly Interested
39,Female,High School,<2000 AED,Sharjah,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Anti-Aging, Energy Levels",<200 AED,353.23,Highly Interested
44,Female,Master’s,<2000 AED,Abu Dhabi,5+ times/week,Vegetarian,No,Very Interested,"Fitness Performance, Energy Levels, Skin Health, Anti-Aging, Immunity Boost",<200 AED,459.61,Interested
52,Male,Doctorate,2000-5000 AED,Ajman,1-2 times/week,Pescatarian,No,Somewhat Interested,"Energy Levels, Anti-Aging, Mental Wellness",200-500 AED,387.12,Highly Interested
18,Female,Bachelor’s,2000-5000 AED,Other,Never,Non-Vegetarian,No,Very Interested,"Fitness Performance, Weight Management",<200 AED,153.61,Highly Interested
52,Female,Master’s,5000-10000 AED,Ajman,Never,Keto/Low Carb,No,Neutral,"Weight Management, Immunity Boost",1000-2000 AED,1115.76,Neutral
54,Female,High School,5000-10000 AED,Sharjah,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Weight Management, Energy Levels, Anti-Aging",<200 AED,437.67,Interested
64,Non-binary,Master’s,2000-5000 AED,Abu Dhabi,1-2 times/week,Vegan,No,Somewhat Interested,"Mental Wellness, Energy Levels, Fitness Performance, Weight Management",200-500 AED,241.79,Interested
31,Female,High School,<2000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Mental Wellness",200-500 AED,356.07,Interested
20,Prefer not to say,Doctorate,<2000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Fitness Performance",200-500 AED,211.13,Interested
18,Female,High School,10000-20000 AED,Dubai,1-2 times/week,Vegetarian,No,Neutral,"Fitness Performance, Skin Health, Energy Levels, Immunity Boost, Weight Management",<200 AED,132.27,Highly Interested
22,Female,Bachelor’s,2000-5000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Mental Wellness",500-1000 AED,836.17,Neutral
43,Female,Master’s,5000-10000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Fitness Performance, Weight Management, Anti-Aging, Energy Levels",200-500 AED,406.75,Highly Interested
31,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Skin Health, Fitness Performance, Anti-Aging",1000-2000 AED,1341.47,Interested
56,Female,High School,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Fitness Performance, Weight Management",1000-2000 AED,1215.61,Highly Interested
44,Female,High School,10000-20000 AED,Ajman,1-2 times/week,Vegetarian,Yes,Neutral,"Skin Health, Weight Management, Immunity Boost",<200 AED,425.48,Interested
26,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Vegetarian,No,Very Interested,"Immunity Boost, Mental Wellness",1000-2000 AED,1217.1,Interested
32,Non-binary,Bachelor’s,>20000 AED,Dubai,3-4 times/week,Vegetarian,No,Not Interested,"Immunity Boost, Skin Health, Fitness Performance, Anti-Aging",<200 AED,316.81,Interested
32,Male,High School,<2000 AED,Ajman,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Fitness Performance, Anti-Aging, Mental Wellness",200-500 AED,490.46,Highly Interested
43,Female,Bachelor’s,<2000 AED,Abu Dhabi,5+ times/week,Vegan,Yes,Very Interested,"Energy Levels, Mental Wellness, Weight Management, Fitness Performance, Anti-Aging",<200 AED,159.14,Interested
